Year,NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant
2020,Battery Park Beer Bar & Eatery,Restaurant with onsite dining,yes,yes
2020,Bay Optometry,Self-regulated health professional,yes,yes
2020,Bayers Road Dental,Dental office,no,yes
2020,Bayside Dental,Dental office,no,yes
2020,Bayside Drive In,Restaurant with onsite dining,yes,no
2020,Bayside Furniture & Cabinetry,Small retail,no,yes
2020,Bayview Animal Hospital,Veterinarian,yes,no
2020,Bayview Chiropractic,Self-regulated health professional,no,yes
2020,Bayview Optical,Self-regulated health professional,no,yes
2020,Beach Pea Kitchen & Bar,Restaurant with onsite dining,no,yes
2020,Beachfire Music Inc.,"Live, performing arts for audience",yes,yes
2020,Beachstone Orthotics,Self-regulated health professional,yes,yes
2020,Beachstone Wellness,Unregulated health professional,yes,yes
2020,Bean Barn Café,Restaurant with onsite dining,no,yes
2020,Bean There Cafe,Restaurant with onsite dining,yes,yes
2020,Beanie's Bistro,Restaurant with onsite dining,yes,yes
2020,Bear River Vineyards,Drinking establishment,no,yes
2020,Bear River Wellness Centre,Personal care service,yes,yes
2020,Bear Town Pizza,Restaurant with onsite dining,yes,yes
2020,Bearly's Blues & Ribs,Drinking establishment,yes,yes
2020,Beatha Family Wellness,Unregulated health professional,yes,yes
2020,Beau Ideal Beauty Salon,Personal care service,yes,yes
2020,Beaumont Displays,In-person trade shows and exhibitions,yes,yes
2020,Beautiful Linen Rentals,In-person trade shows and exhibitions,yes,yes
2020,Beautiful You Day Spa,Personal care service,yes,yes
2020,Beauty By Leah,Personal care service,yes,no
2020,Beauty Therapy by Bernadette,Personal care service,yes,yes
2020,Beaver Bank Station,Restaurant with onsite dining,yes,no
2020,Beaver Sailor Diner,Restaurant with onsite dining,yes,no
2020,Beaverbank Orthopaedic and Sport Physiotherapy,Self-regulated health professional,yes,yes
2020,BeaverTails and Ski Martock,Restaurant with onsite dining,yes,yes
2020,Bedford and District Minor Hockey Association,Not for profit,yes,yes
2020,Bedford Chiropractic,Self-regulated health professional,yes,yes
2020,Bedford Dental Centre,Dental office,no,yes
2020,Bedford Electrolysis,Personal care service,yes,yes
2020,Bedford Highway Veterinary Hospital,Veterinarian,no,yes
2020,Bedford iBrow & Laser Clinic,Personal care service,yes,yes
2020,Bedford Naturopathic Clinic,Unregulated health professional,yes,yes
2020,Bedford Orthodontics,Dental office,no,yes
2020,Bedford Orthopedic Health Center,Self-regulated health professional,yes,yes
2020,Bedford Orthotics,Self-regulated health professional,yes,yes
2020,Bedford-Sackville Physiotherapy Clinic,Self-regulated health professional,yes,yes
2020,Bee Bywater Hair Co.,Personal care service,yes,yes
2020,Beech Street Health Centre,Self-regulated health professional,yes,yes
2020,Beech Street Health Centre,Unregulated health professional,yes,yes
2020,Beech Street Health Centre,Unregulated health professional,yes,yes
2020,Being Hair and Body Care,Personal care service,yes,yes
2020,Beleaf Salon & Spa,Personal care service,yes,yes
2020,Bella Dental,Dental office,no,yes
2020,Bella Luxe Studio,Personal care service,yes,yes
2020,Bella Roma,Restaurant with onsite dining,no,yes
2020,Bella Roma Pizza,Restaurant with onsite dining,yes,yes
2020,Belle View Restaurant,Restaurant with onsite dining,yes,yes
2020,Bellissimo Salon,Personal care service,yes,yes
2020,Bello Day Spa,Personal care service,yes,yes
2020,Belly Up BBQ & Grill,Restaurant with onsite dining,yes,yes
2020,Bennett Podiatric Medical Center,Unregulated health professional,yes,yes
2020,Benn's Barbershop,Personal care service,yes,no
2020,Ben's Clinic,Self-regulated health professional,yes,yes
2020,Bent Ridge Winery,Restaurant with onsite dining,yes,yes
2020,Bernard Integrative Cancer Center,Unregulated health professional,yes,yes
2020,Berwick and District Community Association,Charity,yes,yes
2020,Berwick and District Lions Club,Small retail,no,yes
2020,Berwick Chiropractic Health & Wellness Centre,Self-regulated health professional,yes,yes
2020,Berwick Curling Club,Fitness establishment,yes,yes
2020,Berwick Family Dentistry,Dental office,no,yes
2020,Bessie North House,Restaurant with onsite dining,no,yes
2020,Better Bodies by Massage,Unregulated health professional,yes,yes
2020,Beyond Ventures Group,In-person trade shows and exhibitions,yes,yes
2020,Beyond! Indoor Play,Fitness establishment,yes,yes
2020,Bezanson Auctioneering,In-person trade shows and exhibitions,yes,yes
2020,Bhavana Yoga Boutique,Small retail,no,yes
2020,Bible Hill Bowlacade,Fitness establishment,yes,yes
2020,Bible Hill Family Dentistry,Dental office,no,yes
2020,Bicycle Nova Scotia,Fitness establishment,no,yes
2020,Big Brothers Big Sisters,Charity,yes,yes
2020,Big Brothers Big Sisters Association,Not for profit,yes,yes
2020,Big G Pizza,Restaurant with onsite dining,yes,yes
2020,Big Intervale Sporting Lodge,Restaurant with onsite dining,yes,yes
2020,Big Leagues Pub & Eatery,Restaurant with onsite dining,yes,yes
2020,Big Leap Leadership,In-person trade shows and exhibitions,no,yes
2020,Big Leap Leadership,In-person trade shows and exhibitions,yes,yes
2020,Big Stop Restaurant,Restaurant with onsite dining,yes,yes
2020,Big Stop Restaurant,Restaurant with onsite dining,yes,yes
2020,Big Wedge Pizza,Restaurant with onsite dining,yes,no
2020,BioPed Bedford,Self-regulated health professional,yes,yes
2020,Biotech Orthotic Design,Unregulated health professional,yes,yes
2020,Biotech Orthotics & Braces,Unregulated health professional,yes,yes
2020,Bird & Associates Psychological Services,Self-regulated health professional,yes,yes
2020,Birdies Bread Co.,Restaurant with onsite dining,yes,yes
2020,Bird's Nest Cafe,Restaurant with onsite dining,yes,yes
2020,Birkinshaw's Tea Room,Restaurant with onsite dining,yes,yes
2020,Biscuit Lips Lunch,Restaurant with onsite dining,yes,yes
2020,Bishop's Landing Dental Centre,Dental office,no,yes
2020,Bistroeast,Restaurant with onsite dining,yes,no
2020,Bitsy's Hair Studio,Personal care service,yes,yes
2020,Black Cultural Society / Black Cultural Centre,In-person trade shows and exhibitions,no,yes
2020,Black Sheep Restaurant,Restaurant with onsite dining,yes,yes
2020,Black Spoon Bistro Bed & Breakfast,Restaurant with onsite dining,yes,yes
2020,Blackrock Bistro,Restaurant with onsite dining,yes,yes
2020,Blarney Stone Restaurant,Restaurant with onsite dining,yes,yes
2020,Blazin Sounds DJ Services,"Live, performing arts for audience",yes,yes
2020,Blended Athletics,Fitness establishment,yes,yes
2020,Blindsource,Small retail,no,yes
2020,Bliss Café and Mystical Gifts,Restaurant with onsite dining,yes,yes
2020,Blisstini Day Spa,Personal care service,yes,yes
2020,Blondee Hairstyling,Personal care service,yes,yes
2020,Bloom Laser Clinic,Unregulated health professional,yes,yes
2020,Bloom Vitality,Small retail,no,yes
2020,Blue Griffin Books,Small retail,no,yes
2020,Blue Horizon Massage,Unregulated health professional,yes,no
2020,Blue Lagoon Restaurant,Drinking establishment,yes,yes
2020,Blue Mind Gallery,Small retail,no,yes
2020,Blue Mist Dining Room and Lounge,Drinking establishment,no,yes
2020,Blue Nose Marathon,Not for profit,yes,no
2020,Blue Olive Greek Taverna,Restaurant with onsite dining,yes,yes
2020,Blue Zone Wellness,Fitness establishment,yes,yes
2020,Bluecollar Barbershop,Personal care service,yes,yes
2020,Bluenose Fitness,Fitness establishment,yes,yes
2020,Bluenose Fundraising,In-person trade shows and exhibitions,yes,yes
2020,Bluenose II Restaurant & Grill,Restaurant with onsite dining,yes,yes
2020,Bluenose Laundromat,Personal care service,no,yes
2020,Bluenose Physiotherapy,Self-regulated health professional,yes,yes
2020,Bluenose Reptiles Educational Shows and Events,In-person trade shows and exhibitions,yes,no
2020,Blush Hair Studio,Personal care service,yes,yes
2020,Boardwalk Boardgame Café and Bar,Restaurant with onsite dining,yes,no
2020,Boardwalk Hair Design,Personal care service,no,yes
2020,Boardwalk Taproom and Eatery,Restaurant with onsite dining,yes,yes
2020,Body Difference Massage Therapy,Unregulated health professional,yes,yes
2020,Body Essentials Massage Therapy,Unregulated health professional,no,yes
2020,Body 'n Sole Orthopaedic & Sports Rehab,Self-regulated health professional,yes,yes
2020,Body Tech Orthopaedics,Self-regulated health professional,yes,yes
2020,Bodyworks Massage and Laser Therapy,Unregulated health professional,yes,yes
2020,Boheme Brow & Beauty Bar,Personal care service,yes,yes
2020,Bolland Driving Solutions,Personal care service,yes,no
2020,Bonaparte's Auto Body,Small retail,no,yes
2020,Boneheads BBQ,Restaurant with onsite dining,yes,yes
2020,Bonnie Prince Restaurant & Lounge,Restaurant with onsite dining,yes,yes
2020,BOOMburger,Restaurant with onsite dining,yes,yes
2020,Boondocks Restaurant,Restaurant with onsite dining,yes,yes
2020,Booster Juice,Restaurant with onsite dining,yes,yes
2020,Booster Juice,Restaurant with onsite dining,yes,yes
2020,Booster Juice,Restaurant with onsite dining,yes,no
2020,Booster Juice,Restaurant with onsite dining,yes,yes
2020,Boso Bamboo Boutique,Small retail,no,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boston Pizza,Restaurant with onsite dining,yes,yes
2020,Boudreau Denture Clinic,Self-regulated health professional,yes,yes
2020,Bounce Kingdom Party Rentals,In-person trade shows and exhibitions,yes,yes
2020,Bowlmore,Drinking establishment,yes,yes
2020,Bowtique Hair And Makeup,Personal care service,yes,yes
2020,Boxcar Social,Restaurant with onsite dining,yes,no
2020,Boxing Rock Brewing Company,Drinking establishment,yes,yes
2020,Boxwood Festival Society,Not for profit,yes,no
2020,Boyd's Hair Studio,Personal care service,yes,yes
2020,Brackish Biomechanical Bracing,Unregulated health professional,yes,yes
2020,Bramik Investments,Self-regulated health professional,yes,yes
2020,Branch Out Beauty,Personal care service,yes,no
2020,Bras D'or Lakes Inn,Restaurant with onsite dining,yes,yes
2020,Bras Do'r View Restaurant & Kow's Inn,Restaurant with onsite dining,no,yes
2020,Bras d'Or Wellness Society,Fitness establishment,yes,yes
2020,Bras d'Or Yacht Club,Drinking establishment,yes,yes
2020,Brass Rail Family Restaurant,Restaurant with onsite dining,yes,yes
2020,Brawta Jamaican Jerk Joint,Restaurant with onsite dining,yes,yes
2020,Breathing Space,Fitness establishment,yes,yes
2020,Breathing Space Hair,Personal care service,yes,yes
2020,Breathing Space Yoga Studio,Fitness establishment,yes,yes
2020,Breathing Space Yoga Studio,Fitness establishment,yes,yes
2020,Breton BodyKneads,Self-regulated health professional,yes,yes
2020,Brewery Barber,Personal care service,yes,yes
2020,Brian's Barber Shop,Personal care service,yes,yes
2020,Brickyard Health,Unregulated health professional,yes,yes
2020,Bridgetown Family Dentistry,Dental office,no,yes
2020,Bridgeview Dental,Dental office,no,yes
