ID,Name,TypeofLMI,LMIName,Description,Location,TargetAudience,Access,UpdateFrequency,InformationDepth,ReleaseDate,SegmentSpecific
10,Association of Psychologists of Nova Scotia,products,Association of Psychologists of Nova Scotia (APNS),"APNS promotes psychology as a profession, as a science, and as a means of promoting human welfare.",http://www.apns.ca/,,open,,Provincial,,Any / All
11,Association of Translators and Interpreters of Nova Scotia,products,Association of Translators and Interpreters of Nova Scotia,The Association of Translators and Interpreters of Nova Scotia (ATINS) attests the competence of its certified members and informs the public of the availability of its members' services.,http://www.atins.org/,,OPEN,,Provincial,,NA
12,Atlantic Canada Water & Wastewater Association,products,Atlantic Canada Water & Wastewater Association,Membership in ACWWA provides the training and information you need to keep you current in the fast changing water profession.,http://www.acwwa.ca/,,OPEN,,Provincial,,NA
13,Atlantic Concrete Association,products,Atlantic Concrete Association,A non-profit association to promote and encourage the use and consumption of the products of the industry in the market area of this Association.,http://www.atlanticconcrete.ca/,,OPEN,,Regional,,NA
14,Atlantic Dairy Council,products,Atlantic Dairy Council,The Atlantic Dairy Council (ADC) is the trade association for the Atlantic province's dairy processors.,http://www.adcrecycles.com/,,OPEN,,Regional,,NA
15,Atlantic Golf Superintendents Association,products,Atlantic Golf Superintendents Association,The Atlantic Golf Superintendents Association is a professional organization representing turfgrass managers and industry affiliates.,http://www.agsa.ca/,,Restricted,,Regional,,Any / All
16,Atlantic Home Building and Renovation Sector Council,products,Atlantic Home Building and Renovation Sector Council,The Atlantic Home Building & Renovation Sector Council (AHBRSC) is a human resource sector council funded by industry and government and is governed by a board of directors.  The Sector Council is responsible for the development of a readily available and skilled work force to meet the needs of the home building and renovation industry in Canada's four Atlantic Provinces.,http://www.ahbrsc.com/home/index.html,,open,,National,,NA
17,Atlantic Home Building and Renovation Sector Council,research,Apprenticeship and the Residential Construction Industry in Nova Scotia,A survey of workers and employers concerning the apprenticeship system in Nova Scotia. This report presents findings from research carried out in 2007/08 on the carpentry apprenticeship program as it impacts on the residential construction sector (new home construction and renovation) in Nova Scotia. The purpose of the project was to generate up-to-date information and new insights regarding various research issues concerning the participation of residential sector carpenters in the apprenticeship program.,http://ahbrsc.com/wp-content/uploads/2014/02/Final_Report_v071709.pdf,,Open,NA,Sectoral,2009,Immigrant
18,Atlantic Home Building and Renovation Sector Council,research,Nova Scotia Manufactured Housing Industry Study,"An overview of the unique labour needs of the manufactured housing sector in Atlantic Canada. The study provides an overview of the size of the industry in Nova Scotia and an overview of the labour force in the factory-built housing sector, identifying key human resource issues facing the sector as well as the scale, structure and growth potential of the industry in Nova Scotia. Study findings and recommendations are provided to support long-term human resource planning for this emerging segment of the residential construction industry.",http://ahbrsc.com/wp-content/uploads/2014/02/MFH-STUDY-FINAL-REPORT_May_26_2008.pdf,,Open,NA,Sectoral,2008,NA
19,Atlantic Home Building and Renovation Sector Council,research,Nova Scotia Residential Construction Labour Supply Study: Project Report,"A 20-year projection of the demand for and supply of residential construction trades in Nova Scotia; Final Report on research, key findings, conclusions, priorities, and recommendations.  This report presents an analysis of the current and future demand for, and supply of, skilled workers in key occupational categories in Nova Scotia's home building and renovation industry.",http://ahbrsc.com/wp-content/uploads/2014/02/LSS-Final-Project-Report1.pdf,,Open,NA,Sectoral,2008,Immigrant
20,Atlantic Home Building and Renovation Sector Council,research,Nova Scotia Residential Construction Sector Base Case Demand & Supply,The purpose of this report is to provide a base case analysis and projection of the Nova Scotia residential construction sector. We project the base case and alternative scenarios for residential construction demand and detailed occupation demand over the 2007 to 2026 period.,http://ahbrsc.com/wp-content/uploads/2014/02/Nova-Scotia-Residential-Construction-Sector-Report-June-24-2008.pdf,,Open,NA,Occupation,2008,Immigrant
21,Atlantic Home Respiratory Care Providers,products,Atlantic Home Respiratory Care Providers,"We strive to influence the quality of respiratory care provided in the community with standards, education and information.",http://www.ahrp.ca/,,OPEN,,Provincial,,Immigrant
22,Atlantic Institute for Market Studies,research,An Economic Future with Smaller Numbers: The Population and Labour Force Outlook for the Atlantic Region,"A report on demographic change and its effects with recommended strategies for solution including increasing labour force participation, especially among women.",http://www.aims.ca/site/media/aims/PopulationOutlook.pdf,,Open,NA,Provincial,2009,Immigrant
23,Atlantic Institute for Market Studies,research,The Developing Workforce Problem: Confronting Canadian Labour Shortages in the Coming Decades,A paper describing the demographic challenge faced by the province of Nova Scotia and Canada and its implications. Included in the report are a critique of government policy and recommended strategies.,http://www.aims.ca/site/media/aims/WorkforceProblem.pdf,,Open,NA,Provincial,2009,Immigrant
24,Atlantic Institute for Market Studies,research,We need more Nova Scotians,"In this commentary, originally published for New Start Nova Scotia, Bill Black explains that Nova Scotia's population is aging, while the birthrate is declining.  The result is a growing demand for seniors housing and long-term care.  The population is also increasingly urban. Rural Nova Scotia will lose 25,000 people over the next 10 years.",http://aims.wpengine.com/site/media/aims/We%20Need%20More%20Nova%20Scotians.pdf,,Open,NA,Provincial,2011,immigrant
25,Atlantic Metropolis Centre,research,Analysis of the migration of Anglophones and Francophones in Canada - Summary,"Using data from the 2006 census, this paper studies the migration trends of Canadians based on demographic and linguistic challenges they face with a focus on which regions require the most economic support.",http://community.smu.ca/atlantic/documents/Rapport_Bilan_Metropolisanalysedelamigration-sommaire.pdf,,Open,NA,National,2010,NA
26,Atlantic Metropolis Centre,research,"Bridging, Bonding, and Trusting: The Influence of Social Capital and Trust on Immigrants' Sense of Belonging to Canada","This paper explores how they affect Canadian Immigrant's sense of belonging to the country.  Additional theories accounting for community size, length of time in Canada, education level, education location, and personal income are also examined.",http://community.smu.ca/atlantic/documents/2009.01.06WP18Pearce.pdf,,Open,NA,National,2008,Immigrant
27,Atlantic Metropolis Centre,research,Data on the migration of Anglophones and Francophones in Canada - Full Report,"Using data from the 2006 census, this paper studies the migration trends of Canadians based on demographic and linguistic challenges they face with a focus on which regions require the most economic support.",http://community.smu.ca/atlantic/documents/Rapport_Analyse_Metropolis-Donnees.pdf,,Open,NA,National,2010,NA
28,Atlantic Metropolis Centre,research,Do the Educational Credentials of Immigrant and Non-Immigrant Workers make them Perfect Substitutes for Each Other in Canadian Labour Markets?,"Using an economic framework, this paper attempts to investigate the issue of lack of foreign credential recognition in Canadian labour markets.",http://community.smu.ca/atlantic/documents/Akbari-Aydede29revised.pdf,,Open,NA,National,2010,NA
41,Atlantic Provinces Economic Council,products,Outlook,"A regular conference and report which analyzes current and future economic conditions, which includes discussion of labour market implications.",http://www.apec-econ.ca/search/?search-form.keywords=outlook&do-search=1,,Open,Annually,Provincial,2010,NA
29,Atlantic Metropolis Centre,research,Immigrant Entrepreneurs in Nova Scotia: Factors that Contribute to and Hinder Success,"The goal of this project was to determine the factors that facilitate or hinder Immigrant entrepreneurs in establishing and maintaining a business in Nova Scotia. To this end, data from a sample of Immigrant entrepreneurs established in the province was collected and analysed.",http://community.smu.ca/atlantic/documents/2009.01.27Sharif.pdf,,Open,NA,Provincial,2009,Immigrant
30,Atlantic Metropolis Centre,research,Immigrant Inflows and Their Retention Rise in Atlantic Canada,A brief report on Immigrant inflows and retention in Atlantic Canada; implications for labour market.,http://community.smu.ca,,Restricted,NA,Regional,2008,Acadian
31,Atlantic Metropolis Centre,research,Initial Location Choice of New Immigrants to Canada,"This study examines the determinants of the initial choice of provincial destinations made by new immigrants who entered Canada during the period between 1996 and 2004. Separate analyses are conducted for economic, family, and refugee class immigrants who declared their intended provincial destinations at the time of their entry in Canada. Impacts of demographic characteristics of the population resident in the destination province, the economic climate of each province, and provincial welfare programs are examined in a regression model whose dependent variable is the annual Immigrant arrival in each class.",http://community.smu.ca/atlantic/documents/AkbariandHarringtonWP5.pdf,,Open,NA,National,2007,Immigrant
70,Atlantic Publishers Marketing Association,products,Atlantic Publishers Marketing Association,The Atlantic Publishers Marketing Association is an industry support organization representing book publishers located in Atlantic Canada.,http://www.atlanticpublishers.ca/,,OPEN,,Regional,,NA
32,Atlantic Metropolis Centre,research,Integration of International Medical Graduates into Rural Nova Scotia Communities: A Qualitative Pilot Study,Report on a pilot study exploring integration and retention of International Medical Graduates (IMGs) in N.S. rural locations. Discusses the policy issues surrounding the integration of IMGs and outlines directions for future research.,http://community.smu.ca/atlantic/documents/WP23FrankSaunders.pdf,,Open,NA,Regional,2009,Immigrants
33,Atlantic Metropolis Centre,research,Integration Outcomes for Immigrant Women in Canada: A Review of the Literature 2000-2007,"This paper examines the integration outcomes for Canadian Immigrant women as revealed in the current literature. The intent is to identify key priority areas for research, policy development and practice with respect to outcomes such as labour market integration and health and well-being of Immigrant women in Canada.",http://community.smu.ca/atlantic/documents/vanderPlaat-wp8.pdf,,Open,NA,National,2007,Acadian
34,Atlantic Metropolis Centre,research,Internationally Educated Teachers and Teacher Education Programs in Canada: Current Practices,"This research report documents current practices in Canadian teacher education programs that are relevant to internationally educated teachers, and includes, among other things, information on labour market learning and labour market projections.",http://community.smu.ca,,Restricted,NA,National,2007,Immigrant
35,Atlantic Metropolis Centre,research,Social and Economic Realities and Reversals: Lessons Learned from Nova Scotia's Provincial Nominees,"This paper provides an overview of the ""economic"" category of the Nova Scotia Nominee Program (NSNP), a well-intentioned Nova Scotia immigration initiative that ultimately fell short of expectations for most concerned.",http://community.smu.ca/atlantic/documents/DobrowolskiFINAL.pdf,,Open,NA,Provincial,2011,NA
36,Atlantic Metropolis Centre,research,Socioeconomic and Demographic Profiles of Immigrants in Atlantic Canada,"This document constitutes a series of reports based on a project that analyzed the socioeconomic and demographic profiles of immigrants in Atlantic Canada. Analyses of Immigrant inflows for the period 1981-2005, and of resident immigrants for the period 1981-2001, were conducted using descriptive tools of statistical analysis.",http://community.smu.ca/atlantic/documents/Atlantic_Report_Final_Nov_26.pdf,,Open,NA,Regional,2007,Immigrant
37,Atlantic Metropolis Centre,research,Socioeconomic and Demographic Profiles of Immigrants in Atlantic Canada (1981-2008),This report presents and analyzes socioeconomic and demographic profiles of immigrants in Atlantic Canada. It updates an earlier study that analyzed Immigrant inflow data for Atlantic Canada up to 2005 and resident Immigrant data up to 2001.,http://s3.amazonaws.com/zanran_storage/www.atlantic.metropolis.net/ContentPages/44537622.pdf,,Open,NA,Regional,2009,Immigrant
38,Atlantic Metropolis Centre,research,Socioeconomic and Demographic Profiles of Immigrants in Nova Scotia,"This document is one of a series of reports based on a project that analyzed the socioeconomic and demographic profiles of immigrants in Atlantic Canada and in each Atlantic province.  It updates an earlier Nova Scotia study conducted for the Atlantic Canada Opportunities Agency - Nova Scotia branch.  The primary objectives of this part of the project were to (a) collect and tabulate data on various aspects of immigration to Nova Scotia, (b) analyze those data to highlight the socioeconomic, demographic, and geographic dimensions of immigration to the province, (c) identify gaps in knowledge necessary to implement immigration attraction, integration, and retention strategies in Nova Scotia, and (d) write a report bringing together all of these elements.",http://community.smu.ca/atlantic/documents/NS_Report_Final_Nov_29.pdf,,Open,NA,Provincial,2007,Immigrant
39,Atlantic Metropolis Centre,research,Why Do Recent Immigrants Leave Atlantic Canada?,"Using data from the first two waves of the Longitudinal Survey of Immigrants in Canada, this paper offers a preliminary descriptive sketch of the factors associated with the outmigration of recent immigrants from Atlantic Canada.",http://community.smu.ca/atlantic/documents/RamosYoshidaFINALWP32.pdf,,Open,NA,Regional,2011,NA
40,Atlantic Provinces Economic Council,products,Major Projects Inventory,"An inventory and commentary of all major projects valued at over $25 million happening in Atlantic Canada, and their potential impact on regional labour markets.",http://www.apec-econ.ca/search/?search-form.keywords=Major+Project+Inventory&do-search=1,,Restricted,Annually,Provincial,2010,NA
42,Atlantic Provinces Economic Council,research,"As Labour Markets Tighten, Will Outmigration Trends Reverse in Atlantic Canada?","Outmigration is a key contributor to the decline in Atlantic Canada's population.  On a net basis, Atlantic Canada lost 72,500 people over the last decade due to outmigration, reducing the region's population by more than 2%.  Outmigration rates are particularly high for young people: over the ten year time span, the Atlantic region lost about 10% of its population in the 15 to 34 age bracket.  A discussion of outmigration trends and their implications are discussed in this APEC commentary.",http://www.apec-econ.ca/search/?search-form.keywords=As+Labour+Markets+Tighten%2C+Will+Outmigration+Trends+Reverse+in+Atlantic+Canada%3F&do-search=1,,Open,NA,Regional,2008,NA
43,Atlantic Provinces Economic Council,research,Federal Employment Trends in Atlantic Canada,"The federal government's role as a major employer in Atlantic Canada was highlighted in the latest Report Card by the Atlantic Provinces Economic Council (APEC). But as federal program restraint is again back in vogue, APEC noted the risks to current employment levels, with most Atlantic provinces heavily reliant on jobs in a small number of federal departments.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=175&site.page.id=51001,,Restricted,NA,Regional,2010,NA
44,Atlantic Provinces Economic Council,research,Hiring International Workers in Atlantic Canada,"Hiring international workers can be an effective way to address labour shortages, while also increasing diversity and building connections to international markets.  This detailed employer's guide is designed to help you through the whole process, including recruitment and selection, obtaining authorization to work in Canada, and integrating a new international worker into your workforce.",http://www.apec-econ.ca/hiring-workers-in-atlantic-canada/,,Open,NA,Business,2010,Any / All
71,Atlantic Recreation Vehicle Dealers Association,products,Atlantic Recreation Vehicle Dealers Association,"The objectives of the Society are to bring together persons, firms and corporations engaged in the marketing, servicing manufacturing and financing of recreation vehicles within the Provinces of New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland.",http://www.arvda.ca/,,Restricted,,Regional,,NA
45,Atlantic Provinces Economic Council,research,Labour Market Information(LMI): Atlantic Roundtable Report,"The Forum of Labour Market Ministers has established an Advisory Panel on Labour Market Information to provide advice on how best to improve the Canadian labour market information system. Canada's system of Labour Market Information (LMI) serves the needs not only of governments, but also of individuals, business and institutions. Poor LMI can thwart good decision making, resulting in a misallocation between workers and jobs, thus undermining productivity, incomes and output growth. The complex challenges in today's labour market along with the continuing devolution of program responsibility to the provinces underscore the importance of reassessing and enhancing Canada's LMI. Consultations are playing an important part in the work of the Panel. This report covers four roundtables held in each of the Atlantic provinces between December 1st and December 4th, 2008.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=163&site.page.id=51004,,Open,NA,National,2008,NA
46,Atlantic Provinces Economic Council,research,Nominee Programs Boost Atlantic Immigration,"After three decades of declining shares of Canada's immigration, the Atlantic provinces are experiencing a notable turnaround.  The annual number of immigrants to the region has doubled since 2002 to almost 5,700 last year - the highest level since 1974.  Prince Edward Island received nearly 1,000 immigrants in 2007, its largest number since World War II.  Atlantic Canada's share of Canadian immigration reached 2.4% in 2007, the highest share since 1980, but this is still quite low compared to the region's 7.1% of Canada's population.  This dramatic growth in immigration reflects the impact of provincial nominee programs, which accounted for 82% of the increase in Atlantic immigration between 2002 and 2006.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=125&site.page.id=51001,,Restricted,NA,Regional,2008,Immigrants
47,Atlantic Provinces Economic Council,research,The Growing Role of Women in the Atlantic Labour Force,"In its latest Report Card APEC discusses the participation of women in the Atlantic labour force, which has grown substantially over the past three decades. The Report Card also highlights the challenges women still face, such as gaining access to senior management, to higher-wage occupations and to more full-time work.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=206&site.page.id=51004,,Restricted,NA,Regional,2009,Any / All
48,Atlantic Provinces Economic Council,research,Trends in Seniors' Income and Pension Coverage in Atlantic Canada,"The incomes of Atlantic seniors have risen in real terms over the last few decades, but the risks to future incomes of seniors are also increasing, as seen in last year's steep drop in equity markets that reduced the value of pension assets and retirement savings.  Other risks facing seniors' incomes include declining private sector pension coverage, a continuing shift to defined contribution schemes, and low contributions to RRSPs.  Seniors are compensating for the drop in planned pension income by delaying full retirement, with labour force participation rates of those aged 65-69 more than doubling in Atlantic Canada since 2001 from 6.8% to 15.6% in 2008.  This Report Card discusses factors affecting seniors' retirement incomes and examines trends in pension coverage in Atlantic Canada.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=160&site.page.id=51001,,Restricted,NA,Regional,2009,Any / All
49,Atlantic Provinces Economic Council,research,Where Have All the New Workers Gone? Why Atlantic Canada's Labour Force Has Stopped Growing and What We Can Do About It,"Atlantic Canada's labour force has not grown for two consecutive years, while the labour force in Canada, and most notably Alberta, continues to expand.  There are two main factors behind these weak Atlantic labour force numbers - the region's current economic situation and a longer term demographic trend.  This commentary explains the reasons behind the recent slowdown in Atlantic Canada's labour force growth, what the longer term demographic trend will mean for employers, and what can be done about it.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=101&site.page.id=51005,,Open,NA,Regional,2008,NA
50,Atlantic Provinces Economic Council,research,Major Projects in Atlantic Canada and their Impact on the Halifax Gateway,Provides an overview of the impact and opportunities of major projects on transportation and logistics of Halifax and the Atlantic region. It also details key future  projects and their potential impacts.,https://www.apec-econ.ca/publications/?site.page.id=51003&do-search=1,Various,Open,NA,"Business, Industry, Metropolitan Area, Provincial, Regional",2013,
51,Atlantic Provinces Economic Council,research,Atlantic Canada Without Borders,"The Atlantic Provinces Economic Council held a thought-provoking breakfast dialogue on how Atlantic businesses are breaking down regional barriers to build partnerships and compete globally in Halifax on February 1, 2013. The panel discussion was moderate",http://www.apec-econ.ca/publications/view/?do-load=1&publication.id=297&site.page.id=103002&search-form.theme=Economic%20Development,"Business, Regional Development",Open,NA,"Business, Provincial, Regional",2013,
52,Atlantic Provinces Economic Council,research,Outlook 2013 Conference Report: Charting a New Course for Atlantic Canada,"This complimentary report summarizes the key themes of the conference, which discussed how our region's business leaders are developing new strategies and new markets to succeed in an uncertain world.",https://www.apec-econ.ca/publications/?site.page.id=51005&do-search=1,"Business, Regional Development",Open,NA,"Business, Provincial, Regional",2012,
53,Atlantic Provinces Economic Council,research,Economic & Demographic Trends Transform Atlantic Canada's Cities,Changes in Atlantic Canada’s industrial structure are reshaping patterns of settlement in the region. The Atlantic Provinces Economic Council’s summer Atlantic Report examines how this shift in economic structure is contributing to the growth of the region.,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=176&site.page.id=51001,"Industrial Associations, Government, Business",Restricted,Annually,"Business, Provincial, Regional",2010,Immigrant
54,Atlantic Provinces Economic Council,research,Hiring International Workers in Atlantic Canada,"Hiring international workers can be an effective way to address labour shortages, while also increasing diversity and building connections to international markets.",https://www.apec-econ.ca/hiring-workers-in-atlantic-canada/,"Managers, labour, Immigrants, Government, Employers",Open,NA,"Business, National, Provincial, Regional",2010,
72,Automotive Sector Council of Nova Scotia,products,Career Centre - Welcome to the Automotive Apprentice Success Centre!,Online resource for automotive and repair service industry apprentices.,http://automotivesectorcouncil.ca/index.php/career-centre/apprentice-success-centre,,Open,NA,Sectoral,NA,NA
55,Atlantic Provinces Economic Council,research,Labour Market Strategies for Major Projects,The APEC report examines: provincial labour market strategies; various labour market programs;  agreements that promote labour mobility between provinces; and how provinces are assessing labour supply-demand gaps across occupations and industries through,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=220&site.page.id=51004,"Developers, Business, Policymakers, Government, Employers, Employees",Open,NA,"Provincial, Regional",2012,
56,Atlantic Provinces Economic Council,research,Self-employment Trends in Atlantic Canada,"APEC's latest Report Card explores self-employment trends in Atlantic Canada and notes that the region has failed to show any sustained expansion since 1998, despite gains nationally.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=214&site.page.id=51001,"Business, Small Business, Entrepreneurs, Policymakers, Government",Restricted,NA,"Business, Individual, Occupation, Provincial, Regional",2012,
57,Atlantic Provinces Economic Council,research,Meeting the Skills Challenge: 5 Key Labour Market Issues Facing Atlantic Canada,An Atlantic Provinces Economic Council report examines the region's labour market as it attempts to cope with weakening demographics. In its report Meeting the Skills Challenge: Five Key Labour Market Issues Facing Atlantic Canada APEC identifies specific,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=210&site.page.id=51006,"Business, Employers, Employees, Government, Policymakers",Restricted,NA,"Business, Individual, Provincial, Regional",2012,
58,Atlantic Provinces Economic Council,research,Le défi des compétences : cinq enjeux déterminants pour le marché du travail au Canada atlantique,Le défi des compétences : cinq enjeux déterminants pour le marché du travail au Canada atlantique,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=212&site.page.id=51005,"Business, Employers, Employees, Government, Policymakers",Restricted,NA,"Business, Individual, Provincial, Regional",2012,Youth
59,Atlantic Provinces Economic Council,research,Labour Market Challenges Facing Atlantic Youth,"APEC's summer Atlantic Report examines youth trends in the Atlantic labour market, revealing unemployment rates that remain high and persistent net outmigration.",http://www.apec-econ.ca,"Researchers, Government, Public, Policymakers",Restricted,NA,"Occupation, Provincial, Regional",2012,
60,Atlantic Provinces Economic Council,research,The Urban-Rural Divide in Atlantic Labour Markets,"Atlantic Canada's labour market has shown significant improvement over the last few decades but there remains a substantial urban-rural gap, according to the latest Report Card by the Atlantic Provinces Economic Council.",http://www.apec-econ.ca,"Regional Development, Employers, Employees, Job Seekers, Government, Policymakers",Restricted,NA,"Community, Metropolitan Area, Provincial, Regional",2012,
61,Atlantic Provinces Economic Council,research,Is the Acceleration in Atlantic Earnings Growth Over?,Average weekly earnings in Atlantic Canada advanced steadily between 2004 and 2010 after more than a decade of stagnation. This Report Card  discusses recent trends in regional earnings growth and examines the outlook for the future.,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=202&site.page.id=2000,"Unions, Employers, Employees, Labour, Business, Finance",Restricted,NA,"Provincial, Regional",2012,
62,Atlantic Provinces Economic Council,research,Public Sector Boosts the Number of High Wage Jobs in Atlantic Canada,"This Report Card examines the shifts in employment by industry between 2001 and 2010 that affected the distribution of the region's high-wage and low-wage jobs, and how expected changes will impact the labour force in the coming years.",http://www.apec-econ.ca,"Government, Unions, Employers, Employees, Labour, Business, Finance",Restricted,NA,"Industry, Provincial, Regional",2012,
63,Atlantic Provinces Economic Council,research,How Atlantic Canada's Economy is Adapting to New Global Realities,"This report by Elizabeth Beale, APEC President & CEO, articulates the economic transformation that has taken place within our region over the past 20 years and highlights many of Atlantic Canada’s opportunities and challenges.",https://www.scribd.com/document/66986296/How-Atlantic-Canada-s-Economy-is-Adapting-to-New-Global-Realities,Various,Open,NA,"Regional, Varies",2011,
64,Atlantic Provinces Economic Council,research,Federal Employment trends in Atlantic Canada,The federal government's role as a major employer in Atlantic Canada was highlighted in the latest Report Card by the Atlantic Provinces Economic Council (APEC).,http://www.apec-econ.ca,"Government, Labour, Employers, Employees",Restricted,NA,"National, Provincial, Regional",2010,
65,Atlantic Provinces Economic Council,research,Competitiveness Challenges in Atlantic Canada's Labour Force,"In this paper, we explore the changing labour market in Atlantic Canada in the context of this rapidly evolving global economy. A full expose of key trends opens up to a more detailed discussion on the emerging challenge of labour shortages and the potent",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=206&site.page.id=51004,Various,Open,NA,"Industry, Provincial, Regional",2009,
66,Atlantic Provinces Economic Council,research,The Growing Role of Women in the Atlantic Labour Force,"In its latest Report Card APEC discusses the participation of women in the Atlantic labour force, which has grown substantially over the past three decades. The Report Card also highlights the challenges women still face, such as gaining access to senior",http://www.apec-econ.ca,"Women, Job Seekers, Employees, Employers, Labour, Government",Restricted,NA,"Individual, Provincial, Regional",2009,
67,Atlantic Provinces Economic Council,research,Labour Market Information: Atlantic Roundtable Report,Covered topics such as the rapidly aging labour force; labour shortages and recruitment; the limited number of entry level positions for new graduates and the need to improve labour market outcomes through training. Participants explained how they use LMI,http://www.apec-econ.ca,"Students, Job Seekers, Employers, Employees, Youth, Government, Policymakers",Restricted,NA,"Occupation, Provincial, Regional",2009,
68,Atlantic Provinces Economic Council,research,The Literacy Challenge,Commentary by APEC president Elizabeth Beale about the literacy challenge facing Atlantic Canada,http://www.apec-econ.ca,"Educators, Academic, Government, Policymakers, Employers",Restricted,NA,"Individual, Provincial, Regional",2008,NA
69,Atlantic Provinces Trucking Association,products,Atlantic Provinces Trucking Association,"We network, advocate and lobby to address economic, health and safety, security and environmental issues.  We promote professionalism, continuous education, innovation and high ethical standards.",http://www.apta.ca/,,Restricted,,Regional,,NA
73,Automotive Sector Council of Nova Scotia,products,Career Centre - Welcome to the NSCC Automotive Student Success Centre!,Online resource for students in automotive NSCC program.,http://automotivesectorcouncil.ca/index.php/career-centre/nscc-student-success-centre,,Open,NA,Sectoral,NA,Any / All
74,Automotive Sector Council of Nova Scotia,products,Career Centre - Welcome to the Youth & Parent Career Centre!,Online resource for youth (or parents of youth) considering a career in the automotive service and repair industry.,http://www.automotivesectorcouncil.ca/index.php/career-centre/student-career-centre,,Open,NA,Sectoral,NA,immigrant
75,Automotive Sector Council of Nova Scotia,products,HR Strategies - Employers Reach Out to Youth,Online employer guide to hiring youth.,http://automotivesectorcouncil.ca/index.php/strategies/employers-promote-careers,,Open,NA,Sectoral,NA,Any / All
76,Automotive Sector Council of Nova Scotia,products,HR Strategies - Hiring Foreign Skilled Workers,Online employer guide to hiring and retaining immigrants.,http://automotivesectorcouncil.ca/index.php/strategies/immigration,,Open,NA,Sectoral,NA,Any / All
77,Automotive Sector Council of Nova Scotia,products,HR Strategies - What is Mentorship?,Online employer guide for the implementation of a mentorship program.,http://automotivesectorcouncil.ca/index.php/strategies/mentorship,,Open,NA,Sectoral,NA,Any / All
78,Automotive Sector Council of Nova Scotia,research,Automotive Glass Technician Trade Designation Industry Study,This report presents findings from the survey and consultations. It concludes with recommendations on moving forward with designation of the Automotive Glass Technician.,https://www.automotivesectorcouncil.ca/wp-content/uploads/2017/12/final_report.pdf,,Open,NA,Sectoral,2008,NA
79,Automotive Sector Council of Nova Scotia,research,Nova Scotia Automotive Service & Repair Industry Human Resource Issues and Training Needs Study,Research study identifying NS automotive business's HR issues and training needs.,http://www.automotivesectorcouncil.ca,,Restricted,NA,Sectoral,2008,NA
